ID_Tagesgangsatz;Tagtyp;Anteil_01;Anteil_02;Anteil_03;Anteil_04;Anteil_05;Anteil_06;Anteil_07;Anteil_08;Anteil_09;Anteil_10;Anteil_11;Anteil_12;Anteil_13;Anteil_14;Anteil_15;Anteil_16;Anteil_17;Anteil_18;Anteil_19;Anteil_20;Anteil_21;Anteil_22;Anteil_23;Anteil_24;Quelle;Ausgabe;Version;Herkunftsart
3;3;0.0040975414751149315;0.003897661403158105;0.005196881870877474;0.007595442734359385;0.012292624425344794;0.020987407555466724;0.07795322806316211;0.12092744353387967;0.08694783130121927;0.07195682590445733;0.07195682590445733;0.06596042374575256;0.07795322806316211;0.052968219068558864;0.0439736158305017;0.03298021187287628;0.044973016190285826;0.030981411153308016;0.06695982410553669;0.04297421547071757;0.020987407555466724;0.018988606835898463;0.011293224065560664;0.005196881870877474;abgeleitet aus VDI 6002 Blatt 2;2014-03;FREI-1;VERFAHREN
3;4;0.0040975414751149315;0.003897661403158105;0.005196881870877474;0.007595442734359385;0.012292624425344794;0.020987407555466724;0.07795322806316211;0.12092744353387967;0.08694783130121927;0.07195682590445733;0.07195682590445733;0.06596042374575256;0.07795322806316211;0.052968219068558864;0.0439736158305017;0.03298021187287628;0.044973016190285826;0.030981411153308016;0.06695982410553669;0.04297421547071757;0.020987407555466724;0.018988606835898463;0.011293224065560664;0.005196881870877474;abgeleitet aus VDI 6002 Blatt 2;2014-03;FREI-1;VERFAHREN
4;1;0.004106159238858287;0.003805708562844266;0.005207811717576364;0.007611417125688532;0.012318477716574861;0.02904356534802203;0.0771156735102654;0.10115172759138708;0.08312468703054582;0.07110665998998497;0.0771156735102654;0.06609914872308463;0.0771156735102654;0.05307961942914371;0.04506760140210315;0.03505257886830245;0.04606910365548322;0.033049574361542315;0.07210816224336504;0.04306459689534301;0.02103154732098147;0.01902854281422133;0.012318477716574861;0.005207811717576364;abgeleitet aus VDI 6002 Blatt 2;2014-03;FREI-1;VERFAHREN
4;2;0.004106159238858287;0.003805708562844266;0.005207811717576364;0.007611417125688532;0.012318477716574861;0.02904356534802203;0.0771156735102654;0.10115172759138708;0.08312468703054582;0.07110665998998497;0.0771156735102654;0.06609914872308463;0.0771156735102654;0.05307961942914371;0.04506760140210315;0.03505257886830245;0.04606910365548322;0.033049574361542315;0.07210816224336504;0.04306459689534301;0.02103154732098147;0.01902854281422133;0.012318477716574861;0.005207811717576364;abgeleitet aus VDI 6002 Blatt 2;2014-03;FREI-1;VERFAHREN
4;3;0.004106159238858287;0.003805708562844266;0.005207811717576364;0.007611417125688532;0.012318477716574861;0.02904356534802203;0.0771156735102654;0.10115172759138708;0.08312468703054582;0.07110665998998497;0.0771156735102654;0.06609914872308463;0.0771156735102654;0.05307961942914371;0.04506760140210315;0.03505257886830245;0.04606910365548322;0.033049574361542315;0.07210816224336504;0.04306459689534301;0.02103154732098147;0.01902854281422133;0.012318477716574861;0.005207811717576364;abgeleitet aus VDI 6002 Blatt 2;2014-03;FREI-1;VERFAHREN
4;4;0.004106159238858287;0.003805708562844266;0.005207811717576364;0.007611417125688532;0.012318477716574861;0.02904356534802203;0.0771156735102654;0.10115172759138708;0.08312468703054582;0.07110665998998497;0.0771156735102654;0.06609914872308463;0.0771156735102654;0.05307961942914371;0.04506760140210315;0.03505257886830245;0.04606910365548322;0.033049574361542315;0.07210816224336504;0.04306459689534301;0.02103154732098147;0.01902854281422133;0.012318477716574861;0.005207811717576364;abgeleitet aus VDI 6002 Blatt 2;2014-03;FREI-1;VERFAHREN
5;1;0.013;0.006;0.002;0.002;0.004;0.016;0.086;0.156;0.098;0.049;0.043;0.034;0.03;0.03;0.031;0.029;0.028;0.043;0.06;0.045;0.042;0.054;0.055;0.044;Mittel aus drei Hotels, Sørensen et al. 2021, doi:10.1016/j.dib.2021.107228;Data in Brief 37 (2021) 107228, Messdaten Mendeley Data V2 (CC BY 4.0);FREI-1;EIGENKONSTRUKTION
5;2;0.019038076152304607;0.01002004008016032;0.003006012024048096;0.003006012024048096;0.00501002004008016;0.01002004008016032;0.03507014028056112;0.09719438877755511;0.12424849699398798;0.0841683366733467;0.05110220440881763;0.04509018036072144;0.033066132264529056;0.031062124248496994;0.033066132264529056;0.03907815631262525;0.03907815631262525;0.04809619238476954;0.06613226452905811;0.04809619238476954;0.041082164328657314;0.04809619238476954;0.04609218436873747;0.04008016032064128;Mittel aus drei Hotels, Sørensen et al. 2021, doi:10.1016/j.dib.2021.107228;Data in Brief 37 (2021) 107228, Messdaten Mendeley Data V2 (CC BY 4.0);FREI-1;EIGENKONSTRUKTION
5;3;0.028028028028028028;0.01701701701701702;0.01001001001001001;0.006006006006006006;0.007007007007007007;0.011011011011011011;0.038038038038038034;0.10110110110110111;0.15215215215215214;0.11011011011011011;0.07707707707707707;0.062062062062062065;0.041041041041041046;0.038038038038038034;0.03403403403403404;0.026026026026026026;0.02302302302302302;0.027027027027027025;0.027027027027027025;0.028028028028028028;0.03203203203203203;0.036036036036036036;0.03903903903903904;0.02902902902902903;Mittel aus drei Hotels, Sørensen et al. 2021, doi:10.1016/j.dib.2021.107228;Data in Brief 37 (2021) 107228, Messdaten Mendeley Data V2 (CC BY 4.0);FREI-1;EIGENKONSTRUKTION
5;4;0.028028028028028028;0.01701701701701702;0.01001001001001001;0.006006006006006006;0.007007007007007007;0.011011011011011011;0.038038038038038034;0.10110110110110111;0.15215215215215214;0.11011011011011011;0.07707707707707707;0.062062062062062065;0.041041041041041046;0.038038038038038034;0.03403403403403404;0.026026026026026026;0.02302302302302302;0.027027027027027025;0.027027027027027025;0.028028028028028028;0.03203203203203203;0.036036036036036036;0.03903903903903904;0.02902902902902903;Mittel aus drei Hotels, Sørensen et al. 2021, doi:10.1016/j.dib.2021.107228;Data in Brief 37 (2021) 107228, Messdaten Mendeley Data V2 (CC BY 4.0);FREI-1;EIGENKONSTRUKTION
