Groesse;Wert
Vektor.puffer_entladung.Summe;75929.9307
Vektor.kessel_waermebedarf.Summe;80940.6927
Vektor.kessel_leistung.Summe;22282.0931
Vektor.kessel_restwaerme.Summe;13.1196939
Vektor.kessel_strom.Summe;0
Vektor.pv_produktion.Summe;2743.77089
Vektor.pv_produktion_theoretisch.Summe;3545.45064
Vektor.pv_ueberschuss.Summe;801.679752
Vektor.pv_reststrom.Summe;28757.8554
Vektor.pv_strombedarf.Summe;31501.6263
